year,immig_status,n,population
2014,Illegal immigrants,78082,11577015.004395675
2014,Legal immigrants,282588,31326696
2014,Native-born citizens,2771940,276622102
2015,Illegal immigrants,75470,11259371.761008713
2015,Legal immigrants,291351,32557281
2015,Native-born citizens,2780184,278260980
2016,Illegal immigrants,73628,11009044.935451962
2016,Legal immigrants,297412,33315266
2016,Native-born citizens,2785447,279447040
2017,Illegal immigrants,73863,10890731.445250953
2017,Legal immigrants,304183,34160172
2017,Native-born citizens,2811994,281313013
2018,Illegal immigrants,71847,10717343.826500928
2018,Legal immigrants,306405,34675365
2018,Native-born citizens,2836287,282408845
2019,Illegal immigrants,68879,10658081.606858172
2019,Legal immigrants,307882,34760258
2019,Native-born citizens,2862792,283456158
2020,Illegal immigrants,54320,9224832.911772382
2020,Legal immigrants,248317,34787323
2020,Native-born citizens,2338417,286020291
2021,Illegal immigrants,71189,9869141.203838594
2021,Legal immigrants,328461,35975492
2021,Native-born citizens,2852949,286606638
2022,Illegal immigrants,76958,10617694.833872749
2022,Legal immigrants,336103,36122192
2022,Native-born citizens,2960317,287171764
2023,Illegal immigrants,80939,11391223.408122431
2023,Legal immigrants,344352,37100824
2023,Native-born citizens,2980518,287114340
2024,Illegal immigrants,87751,13122432.614831151
2024,Legal immigrants,342537,37975484
2024,Native-born citizens,2992600,289833257
