year,immig_status,n,population
2010,Illegal immigrants,8235,12551251.678163547
2010,Legal immigrants,18023,26783949.51
2010,Native-born citizens,183544,265735311.1
2011,Illegal immigrants,8115,12917167.48253298
2011,Legal immigrants,18079,27304261.14
2011,Native-born citizens,178789,267121429.23
2012,Illegal immigrants,7771,12583611.026959598
2012,Legal immigrants,18402,28146644.99
2012,Native-born citizens,175225,268851201.46999997
2013,Illegal immigrants,7732,12533223.85455318
2013,Legal immigrants,18475,28308588.09
2013,Native-born citizens,176427,271009620.95
2014,Illegal immigrants,1855,11619180.076179454
2014,Legal immigrants,5158,29731426.99
2014,Native-born citizens,53128,272770091.24
2015,Illegal immigrants,7014,11783688.458932916
2015,Legal immigrants,19142,31087586.82
2015,Native-born citizens,172868,273983978.61
2016,Illegal immigrants,6372,11724026.15120606
2016,Legal immigrants,17907,32026987.11
2016,Native-born citizens,161208,275798078.19
2017,Illegal immigrants,6608,12067726.426616017
2017,Legal immigrants,18462,32494303.71
2017,Native-born citizens,160844,276518032.9
2018,Illegal immigrants,6216,11928214.16340383
2018,Legal immigrants,18513,34163663.57
2018,Native-born citizens,155355,277747775.93
2019,Illegal immigrants,6009,11568093.375873877
2019,Legal immigrants,18747,34917662.41
2019,Native-born citizens,155345,278535686.15
2020,Illegal immigrants,4851,11395339.043105258
2020,Legal immigrants,16019,34485897.401
2020,Native-born citizens,137089,282381732.1484
2021,Illegal immigrants,5294,11550866.752400346
2021,Legal immigrants,16383,34263604.8008
2021,Native-born citizens,141866,282885298.0544
2022,Illegal immigrants,5495,13091484.023175703
2022,Legal immigrants,15576,34512992.34
2022,Native-born citizens,131661,281866097.52
2023,Illegal immigrants,5384,13305887.994936813
2023,Legal immigrants,15773,36279247.9
2023,Native-born citizens,124976,281854028.1
2024,Illegal immigrants,6244,15425341.958493425
2024,Legal immigrants,15607,36795129.93
2024,Native-born citizens,122414,281105742.78
2025,Illegal immigrants,6245,16262978.833531493
2025,Legal immigrants,15498,37897236.73
2025,Native-born citizens,120382,284571446.71
