statefip,immig_status,n,population,state_abb
1,Illegal immigrants,78,136509.62361455197,AL
1,Legal immigrants,82,124009.86,AL
1,Native-born citizens,2561,4797166.16,AL
2,Illegal immigrants,15,6168.111702163388,AK
2,Legal immigrants,88,38749.01,AK
2,Native-born citizens,1500,676736.33,AK
4,Illegal immigrants,123,380570.60972418054,AZ
4,Legal immigrants,351,904092.61,AZ
4,Native-born citizens,1967,6310331.36,AZ
5,Illegal immigrants,87,83197.76095062561,AR
5,Legal immigrants,83,77725.28,AR
5,Native-born citizens,2475,2860531.07,AR
6,Illegal immigrants,1147,3183546.6957742744,CA
6,Legal immigrants,2967,7919984.76,CA
6,Native-born citizens,9471,28542699.97,CA
8,Illegal immigrants,106,335916.7029537186,CO
8,Legal immigrants,143,409253.82,CO
8,Native-born citizens,1631,5173149.38,CO
9,Illegal immigrants,64,141477.20451925666,CT
9,Legal immigrants,193,433600.67,CT
9,Native-born citizens,1276,3093042.19,CT
10,Illegal immigrants,56,37196.058004505525,DE
10,Legal immigrants,140,84571.88,DE
10,Native-born citizens,1423,925007.14,DE
11,Illegal immigrants,95,30816.332367621577,DC
11,Legal immigrants,254,77391.59,DC
11,Native-born citizens,1694,594172.58,DC
12,Illegal immigrants,470,1591802.2340974573,FL
12,Legal immigrants,1328,4005703.3,FL
12,Native-born citizens,4919,17998197.41,FL
13,Illegal immigrants,199,589878.7650982557,GA
13,Legal immigrants,304,974593.16,GA
13,Native-born citizens,2930,9594456.73,GA
15,Illegal immigrants,75,43813.421486755724,HI
15,Legal immigrants,470,234643.93,HI
15,Native-born citizens,1977,1138186.16,HI
16,Illegal immigrants,67,43471.46872884682,ID
16,Legal immigrants,120,80919.34,ID
16,Native-born citizens,2373,1852289.34,ID
17,Illegal immigrants,187,595536.5062480823,IL
17,Legal immigrants,474,1493145.51,IL
17,Native-born citizens,3006,10599182.16,IL
18,Illegal immigrants,75,245974.8322965722,IN
18,Legal immigrants,144,429465.02,IN
18,Native-born citizens,1980,6201195.01,IN
19,Illegal immigrants,69,120305.92671110011,IA
19,Legal immigrants,125,191943.58,IA
19,Native-born citizens,1506,2943095.76,IA
20,Illegal immigrants,60,87864.2863997005,KS
20,Legal immigrants,108,162089.81,KS
20,Native-born citizens,1563,2722052.16,KS
21,Illegal immigrants,33,98760.49123883422,KY
21,Legal immigrants,47,122961.55,KY
21,Native-born citizens,1420,4364778.19,KY
22,Illegal immigrants,85,144853.64957984892,LA
22,Legal immigrants,125,164287.69,LA
22,Native-born citizens,2980,4262488.81,LA
23,Illegal immigrants,2,14619.81456580006,ME
